#{"t_start": 1734332524.8439288, "env_id": "CartPole-v1"}
r,l,t
20.0,20,42.412335
62.0,62,42.474956
44.0,44,42.521918
28.0,28,43.530021
406.0,406,44.884021
111.0,111,45.982197
11.0,11,45.982197
13.0,13,45.997967
14.0,14,46.013732
15.0,15,46.029363
18.0,18,46.04577
22.0,22,46.076647
18.0,18,46.092715
15.0,15,46.108346
104.0,104,46.202345
9.0,9,46.217974
11.0,11,47.193705
16.0,16,47.209452
14.0,14,47.225785
218.0,218,47.430057
162.0,162,48.545232
115.0,115,49.628427
29.0,29,49.659754
17.0,17,49.675376
14.0,14,49.691
16.0,16,49.706626
14.0,14,49.72225
16.0,16,49.737873
13.0,13,49.753627
19.0,19,49.785273
11.0,11,49.785273
14.0,14,49.800954
13.0,13,49.816594
23.0,23,49.832301
194.0,194,50.963845
58.0,58,51.010918
52.0,52,52.016631
104.0,104,52.126653
119.0,119,52.267797
15.0,15,52.283418
65.0,65,53.351856
66.0,66,53.398734
175.0,175,54.592539
15.0,15,54.608173
11.0,11,54.608173
123.0,123,54.749518
16.0,16,54.765617
318.0,318,57.109792
14.0,14,57.125417
126.0,126,57.267111
23.0,23,57.283725
95.0,95,58.335678
169.0,169,58.52401
184.0,184,59.734142
353.0,353,61.132741
477.0,477,63.665014
500.0,500,66.168089
13.0,13,66.183712
222.0,222,67.425423
13.0,13,67.441044
382.0,382,69.78057
15.0,15,69.796192
106.0,106,69.922009
98.0,98,70.031489
12.0,12,70.047263
86.0,86,71.1187
500.0,500,73.636873
110.0,110,73.763142
108.0,108,74.845397
379.0,379,76.309874
12.0,12,76.325497
500.0,500,78.937251
460.0,460,81.587362
131.0,131,81.75903
140.0,140,82.969449
107.0,107,83.102493
402.0,402,85.61854
135.0,135,85.795455
127.0,127,86.953511
129.0,129,87.116918
321.0,321,89.503184
170.0,170,89.697243
234.0,234,90.98127
117.0,117,92.112756
103.0,103,92.248131
94.0,94,93.359554
144.0,144,93.528491
137.0,137,94.710745
108.0,108,94.839989
107.0,107,94.969485
500.0,500,97.607881
99.0,99,98.694212
14.0,14,98.707092
54.0,54,98.774359
13.0,13,98.790731
92.0,92,98.895044
180.0,180,100.122397
164.0,164,101.321291
229.0,229,102.591918
178.0,178,102.813501
30.0,30,103.840225
94.0,94,103.951807
12.0,12,103.960816
99.0,99,104.088584
292.0,292,105.418034
360.0,360,107.848726
500.0,500,110.429804
90.0,90,110.540496
84.0,84,111.662562
336.0,336,113.049472
17.0,17,113.073301
286.0,286,114.44478
217.0,217,115.74879
100.0,100,115.869117
103.0,103,117.007658
165.0,165,117.2075
189.0,189,118.456448
167.0,167,119.755873
110.0,110,119.888636
115.0,115,121.028754
286.0,286,122.574205
259.0,259,124.015634
116.0,116,124.802601
113.0,113,125.983399
13.0,13,125.99902
98.0,98,126.124798
94.0,94,126.235436
125.0,125,127.401213
116.0,116,127.542377
99.0,99,128.672141
93.0,93,128.782214
20.0,20,128.814019
97.0,97,129.931597
35.0,35,129.978803
114.0,114,130.106733
106.0,106,131.222697
